***** Interaction Log File *****
Date and time: 8/21/2018 12:33:03 AM
Condition: Haptics
3.62919, Start Task 1
t = 5.107562, Touch Down, x = -1.293815, y = 2.952552
t = 5.126662, Touch Move counter-clockwiseleft, x = -1.957309, y = 2.985726
t = 5.14445, Touch Move counter-clockwiseleft, x = -2.156358, y = 3.018901
t = 5.161017, Touch Move counter-clockwiseleft, x = -2.289057, y = 3.018901
t = 5.177584, Touch Move counter-clockwiseleft, x = -2.52128, y = 3.085251
t = 5.194151, Touch Move counter-clockwiseleft, x = -2.786678, y = 3.118426
t = 5.210718, Touch Move counter-clockwiseleft, x = -3.052076, y = 3.1516
t = 5.23466, Touch Move counter-clockwiseleft, x = -3.416998, y = 3.184775
t = 5.251227, Touch Move counter-clockwiseleft, x = -3.549697, y = 3.184775
t = 5.284364, Touch Move counter-clockwiseleft, x = -3.980969, y = 3.184775
t = 5.300933, Touch Move counter-clockwiseleft, x = -4.246367, y = 3.1516
t = 5.323442, Touch Move counter-clockwiseleft, x = -4.544939, y = 3.018901
t = 5.340059, Touch Move counter-clockwiseleft, x = -4.710813, y = 2.952552
t = 5.356579, Touch Move counter-clockwiseleft, x = -4.777163, y = 2.886202
t = 5.373144, Touch Move counter-clockwiseleft, x = -4.943036, y = 2.786678
t = 5.38971, Touch Move counter-clockwiseleft, x = -5.04256, y = 2.687154
t = 5.406277, Touch Move counter-clockwiseleft, x = -5.10891, y = 2.488106
t = 5.422844, Touch Move counter-clockwiseleft, x = -5.142085, y = 2.322232
t = 5.43941, Touch Move counter-clockwisedown, x = -5.175259, y = 2.156358
t = 5.456356, Touch Move counter-clockwisedown, x = -5.175259, y = 1.924135
t = 5.472867, Touch Move counter-clockwisedown, x = -5.175259, y = 1.725087
t = 5.48911, Touch Move counter-clockwisedown, x = -5.142085, y = 1.625562
t = 5.505677, Touch Move counter-clockwisedown, x = -5.10891, y = 1.393339
t = 5.526989, Touch Move counter-clockwisedown, x = -5.04256, y = 1.094767
t = 5.543555, Touch Move counter-clockwisedown, x = -5.009386, y = 0.9288924
t = 5.561261, Touch Move counter-clockwisedown, x = -4.943036, y = 0.7630189
t = 5.577824, Touch Move counter-clockwisedown, x = -4.909861, y = 0.6303201
t = 5.594392, Touch Move counter-clockwisedown, x = -4.876687, y = 0.5971454
t = 5.610959, Touch Move counter-clockwisedown, x = -4.810337, y = 0.4976213
t = 5.627524, Touch Move counter-clockwisedown, x = -4.777163, y = 0.4312719
t = 5.644091, Touch Move counter-clockwisedown, x = -4.743988, y = 0.3980971
