***** Interaction Log File *****
Date and time: 8/21/2018 12:43:51 AM
Condition: Haptics
t = 2.420171, 2.420171, Start Task 1
=============================================
t = 3.599837, Touch Down, x = 0.9952418, y = -4.113667
t = 3.633896, Show Hint
t = 3.633896, Touch End, x = 0.8625435, y = -4.113667
t = 4.537674, Touch Down, x = 0.5307959, y = -3.815095
t = 4.667897, Hide Hint
t = 4.667897, Touch End, x = 0.8625435, y = -4.113667
t = 5.732702, Touch Down, x = 5.606531, y = -4.146842
t = 5.831892, Touch End, x = 0.8625435, y = -4.113667
t = 7.110739, 7.110739, Start Task 2
=============================================
t = 7.926558, Touch Down, x = 3.649221, y = -4.180017
t = 8.172491, Touch End, x = 0, y = 0
t = 9.202528, 9.202528, Start Task 2
=============================================
t = 10.05086, Touch Down, x = -4.113667, y = -1.194291
t = 10.1172, Touch Move counter-clockwise right, x = -3.947794, y = -1.028417
t = 10.13375, Touch Move counter-clockwise right, x = -3.84827, y = -0.9620675
t = 10.15026, Touch Move counter-clockwise right, x = -3.649221, y = -0.895718
t = 10.16686, Touch Move counter-clockwise right, x = -3.450173, y = -0.8293684
t = 10.1834, Touch Move counter-clockwise right, x = -3.21795, y = -0.7630189
t = 10.19996, Touch Move counter-clockwise right, x = -2.919377, y = -0.6966695
t = 10.21758, Touch Move counter-clockwise right, x = -2.58763, y = -0.6966695
t = 10.24743, Touch Move counter-clockwise right, x = -1.990484, y = -0.6966695
t = 10.27267, Touch Move counter-clockwise right, x = -1.293815, y = -0.6634948
t = 10.29765, Touch Move counter-clockwise right, x = -0.5971451, y = -0.6634948
t = 10.32272, Touch Move counter-clockwise right, x = 0.06634917, y = -0.6303201
t = 10.35483, Touch Move counter-clockwise right, x = 0.5971451, y = -0.6303201
t = 10.37799, Touch Move counter-clockwise right, x = 0.9952418, y = -0.5639707
t = 10.40338, Touch Move counter-clockwise right, x = 1.227466, y = -0.4976209
t = 10.42773, Touch Move counter-clockwise right, x = 1.326989, y = -0.4644462
t = 10.46613, Touch Move clockwise right, x = 1.326989, y = -0.4312715
t = 10.48967, Touch Move clockwise right, x = 1.293815, y = -0.4312715
t = 10.5158, Touch Move clockwise right, x = 0.9620672, y = -0.4312715
t = 10.53763, Touch Move clockwise right, x = 0.6303197, y = -0.4312715
t = 10.57301, Touch Move clockwise right, x = -0.0663496, y = -0.4312715
t = 10.60016, Touch Move clockwise right, x = -0.5639705, y = -0.4312715
t = 10.62434, Touch Move clockwise right, x = -1.061592, y = -0.4644462
t = 10.64926, Touch Move clockwise right, x = -1.592387, y = -0.5639707
t = 10.67355, Touch Move clockwise right, x = -2.090009, y = -0.6303201
t = 10.69538, Touch Move clockwise right, x = -2.421756, y = -0.6966695
t = 10.71209, Touch Move clockwise right, x = -2.720328, y = -0.7630189
t = 10.73267, Touch Move clockwise right, x = -3.018901, y = -0.7961936
t = 10.74972, Touch Move clockwise right, x = -3.251124, y = -0.8293684
t = 10.76629, Touch Move clockwise right, x = -3.516522, y = -0.8293684
t = 10.78286, Touch Move clockwise right, x = -3.682396, y = -0.8293684
t = 10.79942, Touch Move clockwise right, x = -3.815095, y = -0.7961936
t = 10.81599, Touch Move clockwise right, x = -3.84827, y = -0.7961936
t = 10.83256, Touch Move clockwise right, x = -3.914619, y = -0.7630189
t = 10.84912, Touch Move clockwise right, x = -3.947794, y = -0.7630189
t = 10.91585, Touch Move counter-clockwise right, x = -3.682396, y = -0.7630189
t = 10.93794, Touch Move counter-clockwise right, x = -3.018901, y = -0.8293684
