***** Interaction Log File *****
Date and time: 8/21/2018 12:46:44 AM
Condition: Haptics
t = 1.707365, =============================================
1.707365, Start Task 1
=============================================
t = 2.572291, Touch Down, x = -1.526038, y = 2.620805
t = 2.588818, Touch Move counter-clockwise left, x = -1.791436, y = 2.488106
t = 2.605385, Touch Move counter-clockwise left, x = -2.056834, y = 2.355406
t = 2.621954, Touch Move counter-clockwise left, x = -2.322232, y = 2.189533
t = 2.878075, Touch Move counter-clockwise right, x = -0.9952422, y = -0.3317474
t = 2.91034, Touch Move counter-clockwise right, x = -0.1658738, y = -0.4312715
t = 2.947069, Touch Move counter-clockwise right, x = 0.3980967, y = -0.3649221
t = 2.983043, Touch Move counter-clockwise right, x = 0.7630189, y = -0.2985727
t = 3.034718, Touch Move counter-clockwise right, x = 1.227466, y = -0.3649221
t = 3.07127, Touch Move counter-clockwise right, x = 1.426514, y = -0.5639707
t = 3.117804, Touch Move counter-clockwise right, x = 1.459689, y = -0.9288928
t = 3.180779, Touch End, x = 1.459689, y = -0.9288928
t = 3.463684, Touch Down, x = 0.8625435, y = -3.914619
t = 3.61262, Show Hint
t = 3.61262, Touch End, x = 1.459689, y = -0.9288928
t = 4.481407, Touch Down, x = 0.3649221, y = -4.146842
t = 4.631899, Hide Hint
t = 4.631899, Touch End, x = 1.459689, y = -0.9288928
t = 5.040668, Touch Down, x = 0.7298443, y = -2.52128
t = 5.388566, Touch End, x = -2.58763, y = -2.189533
t = 5.82, Touch Down, x = 2.985726, y = -0.895718
t = 5.886063, Touch Move clockwise right, x = 2.786678, y = -0.895718
t = 5.903273, Touch Move clockwise right, x = 2.322232, y = -0.895718
t = 5.91984, Touch Move clockwise right, x = 1.95731, y = -0.895718
t = 5.936407, Touch Move clockwise right, x = 1.592388, y = -0.8625433
t = 5.952974, Touch Move clockwise right, x = 1.393339, y = -0.8625433
t = 5.971591, Touch Move clockwise right, x = 0.7961935, y = -0.8293684
t = 5.989161, Touch Move clockwise right, x = 0.3317476, y = -0.7961936
t = 6.005728, Touch Move clockwise right, x = -0.09952419, y = -0.7630189
t = 6.022296, Touch Move clockwise right, x = -0.3317476, y = -0.7630189
t = 6.041053, Touch Move clockwise right, x = -0.9952422, y = -0.7961936
t = 6.067957, Touch Move clockwise right, x = -1.625562, y = -0.895718
t = 6.084526, Touch Move clockwise right, x = -1.824611, y = -0.9620675
t = 6.101212, Touch Move clockwise right, x = -2.056834, y = -1.028417
t = 6.118917, Touch Move clockwise right, x = -2.222708, y = -1.094766
t = 6.135487, Touch Move clockwise right, x = -2.289057, y = -1.127941
t = 6.152051, Touch Move clockwise right, x = -2.322232, y = -1.161116
t = 6.201754, Touch Move counter-clockwise right, x = -2.056834, y = -1.094766
t = 6.218657, Touch Move counter-clockwise right, x = -1.26064, y = -0.9620675
t = 6.236174, Touch Move counter-clockwise right, x = -0.5971451, y = -0.895718
t = 6.259639, Touch Move counter-clockwise right, x = 0.06634917, y = -0.7961936
t = 6.290318, Touch Move counter-clockwise right, x = 1.19429, y = -0.6966695
t = 6.334419, Touch Move counter-clockwise right, x = 2.289057, y = -0.5639707
t = 6.379558, Touch Move counter-clockwise right, x = 3.052076, y = -0.5307959
t = 6.421699, Touch Move counter-clockwise right, x = 3.350648, y = -0.5639707
t = 6.454895, Touch Move counter-clockwise right, x = 3.383823, y = -0.5639707
t = 6.505662, Touch Move clockwise right, x = 2.919377, y = -0.6966695
t = 6.550016, Touch Move clockwise right, x = 1.691912, y = -0.8293684
t = 6.582761, Touch Move clockwise right, x = 0.5307959, y = -1.028417
t = 6.624436, Touch Move clockwise right, x = -0.8293685, y = -1.227466
t = 6.6602, Touch Move clockwise right, x = -1.459689, y = -1.293815
t = 6.691797, Touch Move clockwise right, x = -1.725087, y = -1.293815
t = 6.741599, Touch Move clockwise right, x = -1.89096, y = -1.293815
t = 6.961407, Touch End, x = 1.393339, y = -1.658737
t = 9.155025, =============================================
9.155025, Start Task 1
=============================================
t = 12.94097, =============================================
12.94097, Start Task 2
=============================================
t = 13.68987, Touch Down, x = -2.189533, y = 1.028417
t = 13.85553, Touch Move counter-clockwise right, x = -3.516522, y = -0.5639707
t = 13.87527, Touch Move counter-clockwise right, x = -3.118426, y = -0.9620675
t = 13.89993, Touch Move counter-clockwise right, x = -2.388581, y = -1.32699
t = 13.97376, Touch Move counter-clockwise right, x = -0.5639705, y = -1.393339
t = 13.99076, Touch Move counter-clockwise right, x = -0.2322234, y = -1.293815
t = 14.01079, Touch Move counter-clockwise right, x = 0.1990484, y = -0.9952422
t = 14.02736, Touch Move counter-clockwise right, x = 0.298573, y = -0.9288928
t = 14.04399, Touch Move counter-clockwise right, x = 0.5307959, y = -0.7961936
t = 14.06049, Touch Move counter-clockwise right, x = 0.6966697, y = -0.6966695
t = 14.07711, Touch Move counter-clockwise right, x = 0.7961935, y = -0.6303201
t = 14.09363, Touch Move counter-clockwise right, x = 0.8957181, y = -0.5971454
t = 14.11019, Touch Move counter-clockwise right, x = 0.9288927, y = -0.5639707
t = 14.12678, Touch Move counter-clockwise right, x = 0.9620672, y = -0.5639707
t = 14.14332, Touch Move counter-clockwise right, x = 0.9952418, y = -0.5639707
t = 14.19577, Touch Move clockwise right, x = 0.9620672, y = -0.5639707
t = 14.25865, Touch Move clockwise right, x = 0.6303197, y = -0.7298442
t = 14.29725, Touch Move clockwise right, x = 0.06634917, y = -1.161116
t = 14.43757, Touch Move clockwise right, x = -2.255882, y = -1.393339
t = 14.47046, Touch Move clockwise right, x = -2.454931, y = -1.293815
t = 14.50046, Touch Move clockwise right, x = -2.52128, y = -1.227466
t = 14.52468, Touch Move clockwise right, x = -2.554455, y = -1.094766
t = 14.5491, Touch End, x = -2.554455, y = -1.094766
t = 14.85577, Touch Down, x = -2.985726, y = -0.6966695
t = 14.9386, Touch Move clockwise right, x = -3.1516, y = -0.7630189
t = 14.98725, Touch End, x = -3.1516, y = -0.7630189
t = 15.27497, Touch Down, x = -2.985726, y = -0.8625433
t = 15.355, Touch Move clockwise right, x = -3.184775, y = -0.9620675
t = 15.37259, Touch End, x = -3.184775, y = -0.9620675
t = 15.6377, Touch Down, x = -2.952552, y = -0.7961936
t = 15.73705, Touch End, x = -3.184775, y = -0.9620675
t = 16.02341, Touch Down, x = -2.985726, y = -1.227466
t = 16.10624, Touch Move clockwise right, x = -3.184775, y = -1.293815
t = 16.12737, Touch End, x = -3.184775, y = -1.293815
