***** Interaction Log File *****
Date and time: 8/21/2018 8:59:16 AM
Condition: Haptics
t = 1.403993, Start Question 1
=============================================
t = 3.450498, Start Task 1
=============================================
t = 7.534702, Touch Down, x = 0.8293681, y = -3.914619
t = 7.667234, Show Hint
t = 7.667234, Touch End, x = 0, y = 0
t = 8.486905, Touch Down, x = 0.6634951, y = -3.881445
t = 8.636019, Hide Hint
t = 8.636019, Touch End, x = 0, y = 0
t = 9.335232, Touch Down, x = 4.246367, y = 2.720329
t = 9.455089, Touch Move clockwise left, x = 4.412241, y = 2.720329
t = 9.476818, Touch Move clockwise up, x = 4.611289, y = 2.687154
t = 9.493387, Touch Move clockwise up, x = 4.743988, y = 2.687154
t = 9.509975, Touch Move clockwise up, x = 4.876686, y = 2.620805
t = 9.52654, Touch Move clockwise up, x = 4.976211, y = 2.58763
t = 9.544196, Touch Move clockwise up, x = 5.10891, y = 2.421756
t = 9.560891, Touch Move clockwise up, x = 5.175259, y = 2.289057
t = 9.577446, Touch Move clockwise up, x = 5.208434, y = 2.255882
t = 9.593919, Touch Move clockwise up, x = 5.241609, y = 2.156358
t = 9.610518, Touch Move clockwise up, x = 5.241609, y = 2.023659
t = 9.627352, Touch Move clockwise up, x = 5.241609, y = 1.89096
t = 9.6436, Touch Move clockwise up, x = 5.241609, y = 1.791436
t = 9.660166, Touch Move clockwise up, x = 5.241609, y = 1.691911
t = 9.676919, Touch Move clockwise up, x = 5.241609, y = 1.526038
t = 9.697307, Touch Move clockwise up, x = 5.208434, y = 1.26064
t = 9.71456, Touch Move clockwise up, x = 5.208434, y = 1.194291
t = 9.730694, Touch Move clockwise up, x = 5.208434, y = 1.061592
t = 9.747921, Touch Move clockwise up, x = 5.208434, y = 0.862543
t = 9.763615, Touch Move clockwise up, x = 5.208434, y = 0.6966695
t = 9.78014, Touch Move clockwise up, x = 5.208434, y = 0.5307959
t = 9.796711, Touch Move clockwise up, x = 5.208434, y = 0.4312719
t = 9.813431, Touch Move clockwise up, x = 5.175259, y = 0.2653977
t = 9.829842, Touch Move clockwise up, x = 5.175259, y = 0.09952412
t = 9.846687, Touch Move clockwise up, x = 5.142085, y = 0
t = 9.862976, Touch Move clockwise up, x = 5.10891, y = -0.09952412
t = 9.87954, Touch Move clockwise up, x = 5.10891, y = -0.1658735
t = 9.896107, Touch Move clockwise right, x = 5.04256, y = -0.2985727
t = 9.921842, Touch Move clockwise right, x = 5.009386, y = -0.4644462
t = 10.02184, Touch Move clockwise right, x = 4.644464, y = -0.7630189
t = 10.06999, Touch Move clockwise right, x = 4.279541, y = -0.8625433
t = 10.08899, Touch Move clockwise right, x = 4.113667, y = -0.895718
